Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
0,0.8273772438659699,"Braund, Mr. Owen Harris",male,youth,0.4327933656785018,-0.4736736092984604,7.25,S
1,-1.5661069258891576,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,youth,0.4327933656785018,-0.4736736092984604,71.2833,C
1,0.8273772438659699,"Heikkinen, Miss. Laina",female,youth,-0.47454519624983954,-0.4736736092984604,7.925,S
1,-1.5661069258891576,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,youth,0.4327933656785018,-0.4736736092984604,53.1,S
0,0.8273772438659699,"Allen, Mr. William Henry",male,youth,-0.47454519624983954,-0.4736736092984604,8.05,S
0,0.8273772438659699,"Moran, Mr. James",male,missing,-0.47454519624983954,-0.4736736092984604,8.4583,Q
0,-1.5661069258891576,"McCarthy, Mr. Timothy J",male,middle,-0.47454519624983954,-0.4736736092984604,51.8625,S
0,0.8273772438659699,"Palsson, Master. Gosta Leonard",male,juvenile,2.2474704895351842,0.7676298785983874,21.075,S
1,0.8273772438659699,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,youth,-0.47454519624983954,2.0089333664952354,11.1333,S
1,-0.3693648410115938,"Nasser, Mrs. Nicholas (Adele Achem)",female,juvenile,0.4327933656785018,-0.4736736092984604,30.0708,C
1,0.8273772438659699,"Sandstrom, Miss. Marguerite Rut",female,juvenile,0.4327933656785018,0.7676298785983874,16.7,S
1,-1.5661069258891576,"Bonnell, Miss. Elizabeth",female,middle,-0.47454519624983954,-0.4736736092984604,26.55,S
0,0.8273772438659699,"Saundercock, Mr. William Henry",male,youth,-0.47454519624983954,-0.4736736092984604,8.05,S
0,0.8273772438659699,"Andersson, Mr. Anders Johan",male,youth,0.4327933656785018,5.73284383018578,31.275,S
0,0.8273772438659699,"Vestrom, Miss. Hulda Amanda Adolfina",female,juvenile,-0.47454519624983954,-0.4736736092984604,7.8542,S
1,-0.3693648410115938,"Hewlett, Mrs. (Mary D Kingcome) ",female,middle,-0.47454519624983954,-0.4736736092984604,16.0,S
0,0.8273772438659699,"Rice, Master. Eugene",male,juvenile,3.1548090514635256,0.7676298785983874,29.125,Q
1,-0.3693648410115938,"Williams, Mr. Charles Eugene",male,missing,-0.47454519624983954,-0.4736736092984604,13.0,S
0,0.8273772438659699,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,youth,0.4327933656785018,-0.4736736092984604,18.0,S
1,0.8273772438659699,"Masselmani, Mrs. Fatima",female,missing,-0.47454519624983954,-0.4736736092984604,7.225,C
0,-0.3693648410115938,"Fynney, Mr. Joseph J",male,youth,-0.47454519624983954,-0.4736736092984604,26.0,S
1,-0.3693648410115938,"Beesley, Mr. Lawrence",male,youth,-0.47454519624983954,-0.4736736092984604,13.0,S
1,0.8273772438659699,"McGowan, Miss. Anna ""Annie""",female,juvenile,-0.47454519624983954,-0.4736736092984604,8.0292,Q
1,-1.5661069258891576,"Sloper, Mr. William Thompson",male,youth,-0.47454519624983954,-0.4736736092984604,35.5,S
0,0.8273772438659699,"Palsson, Miss. Torborg Danira",female,juvenile,2.2474704895351842,0.7676298785983874,21.075,S
1,0.8273772438659699,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,youth,0.4327933656785018,5.73284383018578,31.3875,S
0,0.8273772438659699,"Emir, Mr. Farred Chehab",male,missing,-0.47454519624983954,-0.4736736092984604,7.225,C
0,-1.5661069258891576,"Fortune, Mr. Charles Alexander",male,youth,2.2474704895351842,2.0089333664952354,263.0,S
1,0.8273772438659699,"O'Dwyer, Miss. Ellen ""Nellie""",female,missing,-0.47454519624983954,-0.4736736092984604,7.8792,Q
0,0.8273772438659699,"Todoroff, Mr. Lalio",male,missing,-0.47454519624983954,-0.4736736092984604,7.8958,S
0,-1.5661069258891576,"Uruchurtu, Don. Manuel E",male,youth,-0.47454519624983954,-0.4736736092984604,27.7208,C
1,-1.5661069258891576,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,missing,0.4327933656785018,-0.4736736092984604,146.5208,C
1,0.8273772438659699,"Glynn, Miss. Mary Agatha",female,missing,-0.47454519624983954,-0.4736736092984604,7.75,Q
0,-0.3693648410115938,"Wheadon, Mr. Edward H",male,old,-0.47454519624983954,-0.4736736092984604,10.5,S
0,-1.5661069258891576,"Meyer, Mr. Edgar Joseph",male,youth,0.4327933656785018,-0.4736736092984604,82.1708,C
0,-1.5661069258891576,"Holverson, Mr. Alexander Oskar",male,middle,0.4327933656785018,-0.4736736092984604,52.0,S
1,0.8273772438659699,"Mamee, Mr. Hanna",male,missing,-0.47454519624983954,-0.4736736092984604,7.2292,C
0,0.8273772438659699,"Cann, Mr. Ernest Charles",male,youth,-0.47454519624983954,-0.4736736092984604,8.05,S
0,0.8273772438659699,"Vander Planke, Miss. Augusta Maria",female,juvenile,1.340131927606843,-0.4736736092984604,18.0,S
1,0.8273772438659699,"Nicola-Yarred, Miss. Jamila",female,juvenile,0.4327933656785018,-0.4736736092984604,11.2417,C
